x,sol
-1,1
-0.997998,1.004
-0.995996,1.00799
-0.993994,1.01198
-0.991992,1.01595
-0.98999,1.01992
-0.987988,1.02388
-0.985986,1.02783
-0.983984,1.03178
-0.981982,1.03571
-0.97998,1.03964
-0.977978,1.04356
-0.975976,1.04747
-0.973974,1.05137
-0.971972,1.05527
-0.96997,1.05916
-0.967968,1.06304
-0.965966,1.06691
-0.963964,1.07077
-0.961962,1.07463
-0.95996,1.07848
-0.957958,1.08232
-0.955956,1.08615
-0.953954,1.08997
-0.951952,1.09379
-0.94995,1.0976
-0.947948,1.10139
-0.945946,1.10519
-0.943944,1.10897
-0.941942,1.11275
-0.93994,1.11651
-0.937938,1.12027
-0.935936,1.12402
-0.933934,1.12777
-0.931932,1.1315
-0.92993,1.13523
-0.927928,1.13895
-0.925926,1.14266
-0.923924,1.14636
-0.921922,1.15006
-0.91992,1.15375
-0.917918,1.15743
-0.915916,1.1611
-0.913914,1.16476
-0.911912,1.16842
-0.90991,1.17206
-0.907908,1.1757
-0.905906,1.17933
-0.903904,1.18296
-0.901902,1.18657
-0.8999,1.19018
-0.897898,1.19378
-0.895896,1.19737
-0.893894,1.20095
-0.891892,1.20453
-0.88989,1.2081
-0.887888,1.21166
-0.885886,1.21521
-0.883884,1.21875
-0.881882,1.22228
-0.87988,1.22581
-0.877878,1.22933
-0.875876,1.23284
-0.873874,1.23634
-0.871872,1.23984
-0.86987,1.24333
-0.867868,1.24681
-0.865866,1.25028
-0.863864,1.25374
-0.861862,1.25719
-0.85986,1.26064
-0.857858,1.26408
-0.855856,1.26751
-0.853854,1.27093
-0.851852,1.27435
-0.84985,1.27776
-0.847848,1.28115
-0.845846,1.28454
-0.843844,1.28793
-0.841842,1.2913
-0.83984,1.29467
-0.837838,1.29803
-0.835836,1.30138
-0.833834,1.30472
-0.831832,1.30806
-0.82983,1.31138
-0.827828,1.3147
-0.825826,1.31801
-0.823824,1.32131
-0.821822,1.32461
-0.81982,1.3279
-0.817818,1.33117
-0.815816,1.33444
-0.813814,1.33771
-0.811812,1.34096
-0.80981,1.34421
-0.807808,1.34745
-0.805806,1.35068
-0.803804,1.3539
-0.801802,1.35711
-0.7998,1.36032
-0.797798,1.36352
-0.795796,1.36671
-0.793794,1.36989
-0.791792,1.37307
-0.78979,1.37623
-0.787788,1.37939
-0.785786,1.38254
-0.783784,1.38568
-0.781782,1.38882
-0.77978,1.39194
-0.777778,1.39506
-0.775776,1.39817
-0.773774,1.40127
-0.771772,1.40437
-0.76977,1.40745
-0.767768,1.41053
-0.765766,1.4136
-0.763764,1.41666
-0.761762,1.41972
-0.75976,1.42277
-0.757758,1.4258
-0.755756,1.42883
-0.753754,1.43186
-0.751752,1.43487
-0.74975,1.43788
-0.747748,1.44087
-0.745746,1.44386
-0.743744,1.44685
-0.741742,1.44982
-0.73974,1.45279
-0.737738,1.45574
-0.735736,1.45869
-0.733734,1.46163
-0.731732,1.46457
-0.72973,1.46749
-0.727728,1.47041
-0.725726,1.47332
-0.723724,1.47622
-0.721722,1.47912
-0.71972,1.482
-0.717718,1.48488
-0.715716,1.48775
-0.713714,1.49061
-0.711712,1.49347
-0.70971,1.49631
-0.707708,1.49915
-0.705706,1.50198
-0.703704,1.5048
