x,sol
-0.701702,1.50761
-0.6997,1.51042
-0.697698,1.51322
-0.695696,1.51601
-0.693694,1.51879
-0.691692,1.52156
-0.68969,1.52433
-0.687688,1.52709
-0.685686,1.52984
-0.683684,1.53258
-0.681682,1.53531
-0.67968,1.53804
-0.677678,1.54075
-0.675676,1.54346
-0.673674,1.54616
-0.671672,1.54886
-0.66967,1.55154
-0.667668,1.55422
-0.665666,1.55689
-0.663664,1.55955
-0.661662,1.5622
-0.65966,1.56485
-0.657658,1.56749
-0.655656,1.57012
-0.653654,1.57274
-0.651652,1.57535
-0.64965,1.57796
-0.647648,1.58055
-0.645646,1.58314
-0.643644,1.58572
-0.641642,1.5883
-0.63964,1.59086
-0.637638,1.59342
-0.635636,1.59597
-0.633634,1.59851
-0.631632,1.60104
-0.62963,1.60357
-0.627628,1.60608
-0.625626,1.60859
-0.623624,1.61109
-0.621622,1.61359
-0.61962,1.61607
-0.617618,1.61855
-0.615616,1.62102
-0.613614,1.62348
-0.611612,1.62593
-0.60961,1.62838
-0.607608,1.63081
-0.605606,1.63324
-0.603604,1.63566
-0.601602,1.63808
-0.5996,1.64048
-0.597598,1.64288
-0.595596,1.64527
-0.593594,1.64765
-0.591592,1.65002
-0.58959,1.65238
-0.587588,1.65474
-0.585586,1.65709
-0.583584,1.65943
-0.581582,1.66176
-0.57958,1.66409
-0.577578,1.6664
-0.575576,1.66871
-0.573574,1.67101
-0.571572,1.67331
-0.56957,1.67559
-0.567568,1.67787
-0.565566,1.68014
-0.563564,1.6824
-0.561562,1.68465
-0.55956,1.68689
-0.557558,1.68913
-0.555556,1.69136
-0.553554,1.69358
-0.551552,1.69579
-0.54955,1.698
-0.547548,1.70019
-0.545546,1.70238
-0.543544,1.70456
-0.541542,1.70673
-0.53954,1.7089
-0.537538,1.71105
-0.535536,1.7132
-0.533534,1.71534
-0.531532,1.71747
-0.52953,1.7196
-0.527528,1.72171
-0.525526,1.72382
-0.523524,1.72592
-0.521522,1.72802
-0.51952,1.7301
-0.517518,1.73218
-0.515516,1.73424
-0.513514,1.7363
-0.511512,1.73836
-0.50951,1.7404
-0.507508,1.74244
-0.505506,1.74446
-0.503504,1.74648
-0.501502,1.7485
-0.499499,1.7505
-0.497497,1.7525
-0.495495,1.75448
-0.493493,1.75646
-0.491491,1.75844
-0.489489,1.7604
-0.487487,1.76236
-0.485485,1.7643
-0.483483,1.76624
-0.481481,1.76818
-0.479479,1.7701
-0.477477,1.77202
-0.475475,1.77392
-0.473473,1.77582
-0.471471,1.77771
-0.469469,1.7796
-0.467467,1.78147
-0.465465,1.78334
-0.463463,1.7852
-0.461461,1.78705
-0.459459,1.7889
-0.457457,1.79073
-0.455455,1.79256
-0.453453,1.79438
-0.451451,1.79619
-0.449449,1.798
-0.447447,1.79979
-0.445445,1.80158
-0.443443,1.80336
-0.441441,1.80513
-0.439439,1.80689
-0.437437,1.80865
-0.435435,1.8104
-0.433433,1.81214
-0.431431,1.81387
-0.429429,1.81559
-0.427427,1.81731
-0.425425,1.81901
-0.423423,1.82071
-0.421421,1.8224
-0.419419,1.82409
-0.417417,1.82576
-0.415415,1.82743
-0.413413,1.82909
-0.411411,1.83074
-0.409409,1.83238
-0.407407,1.83402
-0.405405,1.83565
-0.403403,1.83727
-0.401401,1.83888
-0.399399,1.84048
-0.397397,1.84208
-0.395395,1.84366
-0.393393,1.84524
-0.391391,1.84681
-0.389389,1.84838
-0.387387,1.84993
-0.385385,1.85148
-0.383383,1.85302
-0.381381,1.85455
-0.379379,1.85607
-0.377377,1.85759
-0.375375,1.85909
-0.373373,1.86059
-0.371371,1.86208
-0.369369,1.86357
-0.367367,1.86504
-0.365365,1.86651
-0.363363,1.86797
-0.361361,1.86942
-0.359359,1.87086
-0.357357,1.8723
-0.355355,1.87372
-0.353353,1.87514
-0.351351,1.87655
-0.349349,1.87796
-0.347347,1.87935
-0.345345,1.88074
-0.343343,1.88212
-0.341341,1.88349
-0.339339,1.88485
-0.337337,1.8862
-0.335335,1.88755
-0.333333,1.88889
-0.331331,1.89022
-0.329329,1.89154
-0.327327,1.89286
-0.325325,1.89416
-0.323323,1.89546
-0.321321,1.89675
-0.319319,1.89804
-0.317317,1.89931
-0.315315,1.90058
-0.313313,1.90183
-0.311311,1.90309
-0.309309,1.90433
-0.307307,1.90556
-0.305305,1.90679
-0.303303,1.90801
-0.301301,1.90922
-0.299299,1.91042
-0.297297,1.91161
-0.295295,1.9128
-0.293293,1.91398
-0.291291,1.91515
-0.289289,1.91631
-0.287287,1.91747
-0.285285,1.91861
-0.283283,1.91975
-0.281281,1.92088
-0.279279,1.922
-0.277277,1.92312
-0.275275,1.92422
-0.273273,1.92532
-0.271271,1.92641
-0.269269,1.92749
-0.267267,1.92857
-0.265265,1.92963
-0.263263,1.93069
-0.261261,1.93174
-0.259259,1.93278
-0.257257,1.93382
-0.255255,1.93484
-0.253253,1.93586
-0.251251,1.93687
-0.249249,1.93787
-0.247247,1.93887
-0.245245,1.93985
-0.243243,1.94083
-0.241241,1.9418
-0.239239,1.94276
-0.237237,1.94372
-0.235235,1.94466
-0.233233,1.9456
-0.231231,1.94653
-0.229229,1.94745
-0.227227,1.94837
-0.225225,1.94927
-0.223223,1.95017
-0.221221,1.95106
-0.219219,1.95194
-0.217217,1.95282
-0.215215,1.95368
-0.213213,1.95454
-0.211211,1.95539
-0.209209,1.95623
-0.207207,1.95707
-0.205205,1.95789
-0.203203,1.95871
-0.201201,1.95952
-0.199199,1.96032
-0.197197,1.96111
-0.195195,1.9619
-0.193193,1.96268
-0.191191,1.96345
-0.189189,1.96421
-0.187187,1.96496
-0.185185,1.96571
-0.183183,1.96644
-0.181181,1.96717
-0.179179,1.96789
-0.177177,1.96861
-0.175175,1.96931
-0.173173,1.97001
-0.171171,1.9707
-0.169169,1.97138
-0.167167,1.97206
-0.165165,1.97272
-0.163163,1.97338
-0.161161,1.97403
-0.159159,1.97467
-0.157157,1.9753
-0.155155,1.97593
-0.153153,1.97654
-0.151151,1.97715
-0.149149,1.97775
-0.147147,1.97835
-0.145145,1.97893
-0.143143,1.97951
-0.141141,1.98008
-0.139139,1.98064
-0.137137,1.98119
-0.135135,1.98174
-0.133133,1.98228
-0.131131,1.9828
-0.129129,1.98333
-0.127127,1.98384
-0.125125,1.98434
-0.123123,1.98484
-0.121121,1.98533
-0.119119,1.98581
-0.117117,1.98628
-0.115115,1.98675
-0.113113,1.98721
-0.111111,1.98765
-0.109109,1.9881
-0.107107,1.98853
-0.105105,1.98895
-0.103103,1.98937
-0.101101,1.98978
-0.0990991,1.99018
-0.0970971,1.99057
-0.0950951,1.99096
-0.0930931,1.99133
-0.0910911,1.9917
-0.0890891,1.99206
-0.0870871,1.99242
-0.0850851,1.99276
-0.0830831,1.9931
-0.0810811,1.99343
-0.0790791,1.99375
-0.0770771,1.99406
-0.0750751,1.99436
-0.0730731,1.99466
-0.0710711,1.99495
-0.0690691,1.99523
-0.0670671,1.9955
-0.0650651,1.99577
-0.0630631,1.99602
-0.0610611,1.99627
-0.0590591,1.99651
-0.0570571,1.99674
-0.0550551,1.99697
-0.0530531,1.99719
-0.0510511,1.99739
-0.049049,1.99759
-0.047047,1.99779
-0.045045,1.99797
-0.043043,1.99815
-0.041041,1.99832
-0.039039,1.99848
-0.037037,1.99863
-0.035035,1.99877
-0.033033,1.99891
-0.031031,1.99904
-0.029029,1.99916
-0.027027,1.99927
-0.025025,1.99937
-0.023023,1.99947
-0.021021,1.99956
-0.019019,1.99964
-0.017017,1.99971
-0.015015,1.99977
-0.013013,1.99983
-0.011011,1.99988
-0.00900901,1.99992
-0.00700701,1.99995
-0.00500501,1.99997
-0.003003,1.99999
-0.001001,2
0.001001,2
0.003003,1.99999
0.00500501,1.99997
0.00700701,1.99995
0.00900901,1.99992
0.011011,1.99988
0.013013,1.99983
0.015015,1.99977
0.017017,1.99971
0.019019,1.99964
0.021021,1.99956
0.023023,1.99947
0.025025,1.99937
0.027027,1.99927
0.029029,1.99916
0.031031,1.99904
0.033033,1.99891
0.035035,1.99877
0.037037,1.99863
0.039039,1.99848
0.041041,1.99832
0.043043,1.99815
0.045045,1.99797
0.047047,1.99779
0.049049,1.99759
0.0510511,1.99739
0.0530531,1.99719
0.0550551,1.99697
0.0570571,1.99674
0.0590591,1.99651
0.0610611,1.99627
0.0630631,1.99602
0.0650651,1.99577
0.0670671,1.9955
0.0690691,1.99523
0.0710711,1.99495
0.0730731,1.99466
0.0750751,1.99436
0.0770771,1.99406
0.0790791,1.99375
0.0810811,1.99343
0.0830831,1.9931
0.0850851,1.99276
0.0870871,1.99242
0.0890891,1.99206
0.0910911,1.9917
0.0930931,1.99133
0.0950951,1.99096
0.0970971,1.99057
0.0990991,1.99018
0.101101,1.98978
0.103103,1.98937
0.105105,1.98895
0.107107,1.98853
0.109109,1.9881
0.111111,1.98765
0.113113,1.98721
0.115115,1.98675
0.117117,1.98628
0.119119,1.98581
0.121121,1.98533
0.123123,1.98484
0.125125,1.98434
0.127127,1.98384
0.129129,1.98333
0.131131,1.9828
0.133133,1.98228
0.135135,1.98174
0.137137,1.98119
0.139139,1.98064
0.141141,1.98008
0.143143,1.97951
0.145145,1.97893
0.147147,1.97835
0.149149,1.97775
0.151151,1.97715
0.153153,1.97654
0.155155,1.97593
0.157157,1.9753
0.159159,1.97467
0.161161,1.97403
0.163163,1.97338
0.165165,1.97272
0.167167,1.97206
0.169169,1.97138
0.171171,1.9707
0.173173,1.97001
0.175175,1.96931
0.177177,1.96861
0.179179,1.96789
0.181181,1.96717
0.183183,1.96644
0.185185,1.96571
0.187187,1.96496
0.189189,1.96421
0.191191,1.96345
0.193193,1.96268
0.195195,1.9619
0.197197,1.96111
0.199199,1.96032
0.201201,1.95952
0.203203,1.95871
0.205205,1.95789
0.207207,1.95707
0.209209,1.95623
0.211211,1.95539
0.213213,1.95454
0.215215,1.95368
0.217217,1.95282
0.219219,1.95194
0.221221,1.95106
0.223223,1.95017
0.225225,1.94927
0.227227,1.94837
0.229229,1.94745
0.231231,1.94653
0.233233,1.9456
0.235235,1.94466
0.237237,1.94372
0.239239,1.94276
0.241241,1.9418
0.243243,1.94083
0.245245,1.93985
0.247247,1.93887
0.249249,1.93787
0.251251,1.93687
0.253253,1.93586
0.255255,1.93484
0.257257,1.93382
0.259259,1.93278
0.261261,1.93174
0.263263,1.93069
0.265265,1.92963
0.267267,1.92857
0.269269,1.92749
0.271271,1.92641
0.273273,1.92532
0.275275,1.92422
0.277277,1.92312
0.279279,1.922
0.281281,1.92088
0.283283,1.91975
0.285285,1.91861
0.287287,1.91747
0.289289,1.91631
0.291291,1.91515
0.293293,1.91398
0.295295,1.9128
0.297297,1.91161
0.299299,1.91042
0.301301,1.90922
0.303303,1.90801
0.305305,1.90679
0.307307,1.90556
0.309309,1.90433
0.311311,1.90309
0.313313,1.90183
0.315315,1.90058
0.317317,1.89931
0.319319,1.89804
0.321321,1.89675
0.323323,1.89546
0.325325,1.89416
0.327327,1.89286
0.329329,1.89154
0.331331,1.89022
0.333333,1.88889
0.335335,1.88755
0.337337,1.8862
0.339339,1.88485
0.341341,1.88349
0.343343,1.88212
0.345345,1.88074
0.347347,1.87935
0.349349,1.87796
0.351351,1.87655
0.353353,1.87514
0.355355,1.87372
0.357357,1.8723
0.359359,1.87086
0.361361,1.86942
0.363363,1.86797
0.365365,1.86651
0.367367,1.86504
0.369369,1.86357
0.371371,1.86208
0.373373,1.86059
0.375375,1.85909
0.377377,1.85759
0.379379,1.85607
0.381381,1.85455
0.383383,1.85302
0.385385,1.85148
0.387387,1.84993
0.389389,1.84838
0.391391,1.84681
0.393393,1.84524
0.395395,1.84366
0.397397,1.84208
0.399399,1.84048
0.401401,1.83888
0.403403,1.83727
0.405405,1.83565
0.407407,1.83402
0.409409,1.83238
0.411411,1.83074
0.413413,1.82909
0.415415,1.82743
0.417417,1.82576
0.419419,1.82409
0.421421,1.8224
0.423423,1.82071
0.425425,1.81901
0.427427,1.81731
0.429429,1.81559
0.431431,1.81387
0.433433,1.81214
0.435435,1.8104
0.437437,1.80865
0.439439,1.80689
0.441441,1.80513
0.443443,1.80336
0.445445,1.80158
0.447447,1.79979
0.449449,1.798
0.451451,1.79619
0.453453,1.79438
0.455455,1.79256
0.457457,1.79073
0.459459,1.7889
0.461461,1.78705
0.463463,1.7852
0.465465,1.78334
0.467467,1.78147
0.469469,1.7796
0.471471,1.77771
0.473473,1.77582
0.475475,1.77392
0.477477,1.77202
0.479479,1.7701
0.481481,1.76818
0.483483,1.76624
0.485485,1.7643
0.487487,1.76236
0.489489,1.7604
0.491491,1.75844
0.493493,1.75646
0.495495,1.75448
0.497497,1.7525
0.499499,1.7505
0.501502,1.7485
0.503504,1.74648
0.505506,1.74446
0.507508,1.74244
0.50951,1.7404
0.511512,1.73836
0.513514,1.7363
0.515516,1.73424
0.517518,1.73218
0.51952,1.7301
0.521522,1.72802
0.523524,1.72592
0.525526,1.72382
0.527528,1.72171
0.52953,1.7196
0.531532,1.71747
0.533534,1.71534
0.535536,1.7132
0.537538,1.71105
0.53954,1.7089
0.541542,1.70673
0.543544,1.70456
0.545546,1.70238
0.547548,1.70019
0.54955,1.698
0.551552,1.69579
0.553554,1.69358
0.555556,1.69136
0.557558,1.68913
0.55956,1.68689
0.561562,1.68465
0.563564,1.6824
0.565566,1.68014
0.567568,1.67787
0.56957,1.67559
0.571572,1.67331
0.573574,1.67101
0.575576,1.66871
0.577578,1.6664
0.57958,1.66409
0.581582,1.66176
0.583584,1.65943
0.585586,1.65709
0.587588,1.65474
0.58959,1.65238
0.591592,1.65002
0.593594,1.64765
0.595596,1.64527
0.597598,1.64288
0.5996,1.64048
0.601602,1.63808
0.603604,1.63566
0.605606,1.63324
0.607608,1.63081
0.60961,1.62838
0.611612,1.62593
0.613614,1.62348
0.615616,1.62102
0.617618,1.61855
0.61962,1.61607
0.621622,1.61359
0.623624,1.61109
0.625626,1.60859
0.627628,1.60608
0.62963,1.60357
0.631632,1.60104
0.633634,1.59851
0.635636,1.59597
0.637638,1.59342
0.63964,1.59086
0.641642,1.5883
0.643644,1.58572
0.645646,1.58314
0.647648,1.58055
0.64965,1.57796
0.651652,1.57535
0.653654,1.57274
0.655656,1.57012
0.657658,1.56749
0.65966,1.56485
0.661662,1.5622
0.663664,1.55955
0.665666,1.55689
0.667668,1.55422
0.66967,1.55154
0.671672,1.54886
0.673674,1.54616
0.675676,1.54346
0.677678,1.54075
0.67968,1.53804
0.681682,1.53531
0.683684,1.53258
0.685686,1.52984
0.687688,1.52709
0.68969,1.52433
0.691692,1.52156
0.693694,1.51879
0.695696,1.51601
0.697698,1.51322
0.6997,1.51042
0.701702,1.50761
0.703704,1.5048
0.705706,1.50198
0.707708,1.49915
0.70971,1.49631
0.711712,1.49347
0.713714,1.49061
0.715716,1.48775
0.717718,1.48488
0.71972,1.482
0.721722,1.47912
0.723724,1.47622
0.725726,1.47332
0.727728,1.47041
0.72973,1.46749
0.731732,1.46457
0.733734,1.46163
0.735736,1.45869
0.737738,1.45574
0.73974,1.45279
0.741742,1.44982
0.743744,1.44685
0.745746,1.44386
0.747748,1.44087
0.74975,1.43788
0.751752,1.43487
0.753754,1.43186
0.755756,1.42883
0.757758,1.4258
0.75976,1.42277
0.761762,1.41972
0.763764,1.41666
0.765766,1.4136
0.767768,1.41053
0.76977,1.40745
0.771772,1.40437
0.773774,1.40127
0.775776,1.39817
0.777778,1.39506
0.77978,1.39194
0.781782,1.38882
0.783784,1.38568
0.785786,1.38254
0.787788,1.37939
0.78979,1.37623
0.791792,1.37307
0.793794,1.36989
0.795796,1.36671
0.797798,1.36352
0.7998,1.36032
0.801802,1.35711
0.803804,1.3539
0.805806,1.35068
0.807808,1.34745
0.80981,1.34421
0.811812,1.34096
0.813814,1.33771
0.815816,1.33444
0.817818,1.33117
0.81982,1.3279
0.821822,1.32461
0.823824,1.32131
0.825826,1.31801
0.827828,1.3147
0.82983,1.31138
0.831832,1.30806
0.833834,1.30472
0.835836,1.30138
0.837838,1.29803
0.83984,1.29467
0.841842,1.2913
0.843844,1.28793
0.845846,1.28454
0.847848,1.28115
0.84985,1.27776
0.851852,1.27435
0.853854,1.27093
0.855856,1.26751
0.857858,1.26408
0.85986,1.26064
0.861862,1.25719
0.863864,1.25374
0.865866,1.25028
0.867868,1.24681
0.86987,1.24333
0.871872,1.23984
0.873874,1.23634
0.875876,1.23284
0.877878,1.22933
0.87988,1.22581
0.881882,1.22228
0.883884,1.21875
0.885886,1.21521
0.887888,1.21166
0.88989,1.2081
0.891892,1.20453
0.893894,1.20095
0.895896,1.19737
0.897898,1.19378
0.8999,1.19018
0.901902,1.18657
0.903904,1.18296
0.905906,1.17933
0.907908,1.1757
0.90991,1.17206
0.911912,1.16842
0.913914,1.16476
0.915916,1.1611
0.917918,1.15743
0.91992,1.15375
0.921922,1.15006
0.923924,1.14636
0.925926,1.14266
0.927928,1.13895
0.92993,1.13523
0.931932,1.1315
0.933934,1.12777
0.935936,1.12402
0.937938,1.12027
0.93994,1.11651
0.941942,1.11275
0.943944,1.10897
0.945946,1.10519
0.947948,1.10139
0.94995,1.0976
0.951952,1.09379
0.953954,1.08997
0.955956,1.08615
0.957958,1.08232
0.95996,1.07848
0.961962,1.07463
0.963964,1.07077
0.965966,1.06691
0.967968,1.06304
0.96997,1.05916
0.971972,1.05527
0.973974,1.05137
0.975976,1.04747
0.977978,1.04356
0.97998,1.03964
0.981982,1.03571
0.983984,1.03178
0.985986,1.02783
0.987988,1.02388
0.98999,1.01992
0.991992,1.01595
0.993994,1.01198
0.995996,1.00799
0.997998,1.004
1,1
